Task,Timestamp,isGrabbing,ControllerPosition,ControllerRotation,ObjectPosition,ObjectRotation,DistanceMismatchX,DistanceMismatchY,DistanceMismatchZ,RotationMismatchX,RotationMismatchY,RotationMismatchZ
1,2023-06-01 18:46:48.600,True,(-0.04;20.94;-83.60),(-6.40;-50.20;45.37),(-0.26;20.63;-83.23),(27.33;83.44;7.78),0.57,0.01,0.10,70.30,28.33,69.31
1,2023-06-01 18:46:48.612,True,(-0.05;20.94;-83.60),(-6.95;-50.52;45.01),(-0.27;20.64;-83.24),(27.97;83.00;7.61),0.55,0.01,0.09,70.72,28.91,69.81
1,2023-06-01 18:46:48.622,True,(-0.06;20.94;-83.60),(-7.28;-51.12;44.42),(-0.28;20.64;-83.24),(28.62;82.41;7.79),0.54,0.01,0.09,71.48,29.58,70.45
1,2023-06-01 18:46:48.633,True,(-0.07;20.94;-83.61),(-7.70;-51.64;43.46),(-0.29;20.64;-83.25),(29.60;81.96;8.19),0.53,0.01,0.08,72.25,30.62,71.03
1,2023-06-01 18:46:48.645,True,(-0.08;20.94;-83.61),(-8.36;-52.01;42.42),(-0.31;20.64;-83.26),(30.80;81.58;8.46),0.52,0.01,0.08,72.92,31.83,71.58
1,2023-06-01 18:46:48.657,True,(-0.09;20.94;-83.61),(-9.03;-52.30;41.59),(-0.32;20.64;-83.26),(31.86;81.22;8.56),0.50,0.01,0.07,73.46,32.87,72.10
1,2023-06-01 18:46:48.667,True,(-0.09;20.94;-83.61),(-9.64;-52.39;41.02),(-0.33;20.65;-83.26),(32.68;81.00;8.49),0.49,0.02,0.07,73.74,33.65,72.45
1,2023-06-01 18:46:48.678,True,(-0.10;20.94;-83.62),(-9.91;-52.47;40.73),(-0.34;20.65;-83.27),(33.08;80.87;8.49),0.48,0.02,0.07,73.92,34.03,72.63
1,2023-06-01 18:46:48.690,True,(-0.11;20.94;-83.62),(-9.95;-52.72;40.31),(-0.36;20.65;-83.27),(33.41;80.72;8.80),0.47,0.02,0.06,74.29,34.42,72.82
1,2023-06-01 18:46:48.700,True,(-0.12;20.95;-83.62),(-10.08;-53.03;39.68),(-0.37;20.65;-83.27),(33.94;80.52;9.20),0.45,0.02,0.06,74.79,35.02,73.10
1,2023-06-01 18:46:48.712,True,(-0.13;20.95;-83.63),(-10.21;-53.59;38.90),(-0.38;20.65;-83.28),(34.59;80.12;9.72),0.44,0.02,0.05,75.58,35.77,73.55
1,2023-06-01 18:46:48.724,True,(-0.14;20.95;-83.63),(-10.47;-54.35;38.54),(-0.39;20.65;-83.29),(35.03;79.33;9.79),0.43,0.02,0.05,76.46,36.20,74.27
1,2023-06-01 18:46:48.734,True,(-0.15;20.95;-83.63),(-10.77;-55.10;38.43),(-0.40;20.65;-83.29),(35.32;78.46;9.62),0.42,0.03,0.04,77.25,36.44,75.02
1,2023-06-01 18:46:48.744,True,(-0.15;20.95;-83.64),(-10.98;-56.10;38.85),(-0.42;20.66;-83.30),(35.16;77.23;9.08),0.41,0.03,0.04,78.13,36.16,75.99
1,2023-06-01 18:46:48.757,True,(-0.16;20.95;-83.64),(-10.97;-56.79;39.56),(-0.43;20.66;-83.30),(34.65;76.35;8.51),0.39,0.03,0.03,78.60,35.55,76.61
1,2023-06-01 18:46:48.767,True,(-0.17;20.95;-83.64),(-11.05;-57.36;39.85),(-0.44;20.66;-83.30),(34.49;75.67;8.20),0.38,0.03,0.03,79.08,35.34,77.14
1,2023-06-01 18:46:48.777,True,(-0.18;20.95;-83.64),(-11.16;-57.88;40.29),(-0.45;20.66;-83.31),(34.24;74.97;7.76),0.37,0.03,0.03,79.48,35.01,77.67
1,2023-06-01 18:46:48.790,True,(-0.19;20.95;-83.65),(-11.30;-58.44;40.64),(-0.46;20.66;-83.31),(34.09;74.25;7.35),0.36,0.03,0.02,79.94,34.78,78.23
1,2023-06-01 18:46:48.799,True,(-0.19;20.95;-83.65),(-11.34;-59.05;41.14),(-0.47;20.66;-83.31),(33.76;73.50;6.91),0.35,0.03,0.02,80.40,34.38,78.81
1,2023-06-01 18:46:48.811,True,(-0.20;20.96;-83.65),(-11.23;-59.60;41.25),(-0.48;20.66;-83.32),(33.60;72.98;6.91),0.34,0.04,0.02,80.91,34.23,79.22
1,2023-06-01 18:46:48.823,True,(-0.21;20.96;-83.65),(-11.06;-59.97;41.05),(-0.49;20.67;-83.32),(33.64;72.74;7.23),0.33,0.04,0.01,81.33,34.32,79.42
1,2023-06-01 18:46:48.833,True,(-0.22;20.96;-83.65),(-10.88;-60.44;40.84),(-0.50;20.67;-83.32),(33.66;72.41;7.56),0.32,0.04,0.01,81.84,34.40,79.69
1,2023-06-01 18:46:48.845,True,(-0.22;20.96;-83.66),(-10.59;-60.83;40.51),(-0.51;20.67;-83.32),(33.70;72.25;8.07),0.31,0.04,0.01,82.31,34.54,79.84
1,2023-06-01 18:46:48.856,True,(-0.23;20.96;-83.66),(-10.33;-61.18;40.42),(-0.52;20.67;-83.33),(33.59;72.05;8.38),0.30,0.04,0.01,82.66,34.50,79.99
1,2023-06-01 18:46:48.865,True,(-0.24;20.96;-83.66),(-10.15;-61.63;40.75),(-0.52;20.67;-83.33),(33.23;71.60;8.26),0.29,0.04,0.00,83.00,34.13,80.32
1,2023-06-01 18:46:48.877,True,(-0.25;20.96;-83.66),(-9.92;-62.17;41.40),(-0.53;20.67;-83.33),(32.61;71.00;7.94),0.28,0.04,0.00,83.35,33.46,80.75
1,2023-06-01 18:46:48.890,True,(-0.25;20.96;-83.66),(-9.62;-62.65;41.92),(-0.54;20.67;-83.33),(32.03;70.52;7.78),0.28,0.04,0.00,83.66,32.86,81.09
1,2023-06-01 18:46:48.901,True,(-0.26;20.96;-83.66),(-9.14;-63.09;42.41),(-0.55;20.67;-83.33),(31.35;70.18;7.81),0.27,0.04,0.00,83.95,32.21,81.32
1,2023-06-01 18:46:48.912,True,(-0.27;20.96;-83.66),(-8.73;-63.49;42.48),(-0.56;20.67;-83.33),(31.02;69.94;8.10),0.26,0.05,0.00,84.30,31.95,81.50
1,2023-06-01 18:46:48.923,True,(-0.27;20.96;-83.67),(-8.53;-63.85;42.42),(-0.57;20.67;-83.34),(30.92;69.68;8.31),0.25,0.05,0.00,84.66,31.91,81.71
1,2023-06-01 18:46:48.933,True,(-0.28;20.97;-83.67),(-8.62;-64.13;42.04),(-0.58;20.68;-83.34),(31.25;69.46;8.55),0.24,0.05,0.01,85.04,32.29,81.92
1,2023-06-01 18:46:48.944,True,(-0.29;20.97;-83.67),(-8.47;-64.51;42.11),(-0.58;20.68;-83.34),(31.10;69.13;8.62),0.23,0.05,0.01,85.39,32.16,82.19
